State,Age,UrbanRural,LiteracyRate
KARNATAKA,37,Rural,66.60%
KARNATAKA,37,Urban,87.58%
KARNATAKA,38,Rural,60.21%
KARNATAKA,38,Urban,83.69%
KARNATAKA,39,Rural,59.24%
KARNATAKA,39,Urban,83.38%
KARNATAKA,40,Rural,49.55%
KARNATAKA,40,Urban,73.53%
KARNATAKA,41,Rural,59.52%
KARNATAKA,41,Urban,84.95%
KARNATAKA,42,Rural,58.18%
KARNATAKA,42,Urban,85.07%
KARNATAKA,43,Rural,60.96%
KARNATAKA,43,Urban,87.61%
KARNATAKA,44,Rural,54.52%
KARNATAKA,44,Urban,81.40%
KARNATAKA,45,Rural,44.93%
KARNATAKA,45,Urban,69.98%
KARNATAKA,46,Rural,53.50%
KARNATAKA,46,Urban,81.62%
KARNATAKA,47,Rural,57.85%
KARNATAKA,47,Urban,85.26%
KARNATAKA,48,Rural,51.36%
KARNATAKA,48,Urban,80.04%
KARNATAKA,49,Rural,49.59%
KARNATAKA,49,Urban,78.81%
KARNATAKA,50,Rural,39.16%
KARNATAKA,50,Urban,65.82%
KARNATAKA,51,Rural,49.93%
KARNATAKA,51,Urban,80.72%
KARNATAKA,52,Rural,53.52%
KARNATAKA,52,Urban,84.10%
KARNATAKA,53,Rural,57.72%
KARNATAKA,53,Urban,87.18%
KARNATAKA,54,Rural,49.10%
KARNATAKA,54,Urban,80.79%
KARNATAKA,55,Rural,38.67%
KARNATAKA,55,Urban,67.45%
KARNATAKA,56,Rural,48.47%
KARNATAKA,56,Urban,80.53%
KARNATAKA,57,Rural,54.90%
KARNATAKA,57,Urban,85.96%
KARNATAKA,58,Rural,47.92%
KARNATAKA,58,Urban,81.33%
KARNATAKA,59,Rural,41.24%
KARNATAKA,59,Urban,74.00%
KARNATAKA,60,Rural,30.86%
KARNATAKA,60,Urban,56.76%
KARNATAKA,61,Rural,39.73%
KARNATAKA,61,Urban,74.90%
KARNATAKA,62,Rural,43.37%
KARNATAKA,62,Urban,80.24%
KARNATAKA,63,Rural,50.28%
KARNATAKA,63,Urban,84.35%
KARNATAKA,64,Rural,39.77%
KARNATAKA,64,Urban,73.51%
KARNATAKA,65,Rural,30.30%
KARNATAKA,65,Urban,55.64%
KARNATAKA,66,Rural,38.09%
KARNATAKA,66,Urban,70.76%
KARNATAKA,67,Rural,45.02%
KARNATAKA,67,Urban,79.42%
KARNATAKA,68,Rural,39.12%
KARNATAKA,68,Urban,74.97%
KARNATAKA,69,Rural,33.34%
KARNATAKA,69,Urban,67.55%
KARNATAKA,70,Rural,25.42%
KARNATAKA,70,Urban,50.17%
KARNATAKA,71,Rural,32.98%
KARNATAKA,71,Urban,68.13%
KARNATAKA,72,Rural,41.38%
KARNATAKA,72,Urban,77.96%
KARNATAKA,73,Rural,47.91%
KARNATAKA,73,Urban,82.06%
KARNATAKA,74,Rural,38.31%
KARNATAKA,74,Urban,72.22%
KARNATAKA,75,Rural,27.70%
KARNATAKA,75,Urban,54.76%
KARNATAKA,76,Rural,36.28%
KARNATAKA,76,Urban,70.06%
KARNATAKA,77,Rural,46.21%
KARNATAKA,77,Urban,80.88%
KARNATAKA,78,Rural,39.57%
KARNATAKA,78,Urban,75.46%
KARNATAKA,79,Rural,29.73%
KARNATAKA,79,Urban,64.43%
KARNATAKA,80,Rural,21.38%
KARNATAKA,80,Urban,44.98%
KARNATAKA,81,Rural,28.76%
KARNATAKA,81,Urban,63.00%
KARNATAKA,82,Rural,40.82%
KARNATAKA,82,Urban,77.35%
KARNATAKA,83,Rural,48.78%
KARNATAKA,83,Urban,80.31%
KARNATAKA,84,Rural,38.05%
KARNATAKA,84,Urban,69.37%
KARNATAKA,85,Rural,25.87%
KARNATAKA,85,Urban,51.93%
KARNATAKA,86,Rural,36.42%
KARNATAKA,86,Urban,66.91%
KARNATAKA,87,Rural,46.93%
KARNATAKA,87,Urban,77.56%
KARNATAKA,88,Rural,43.10%
KARNATAKA,88,Urban,74.36%
KARNATAKA,89,Rural,29.99%
KARNATAKA,89,Urban,65.16%
KARNATAKA,90,Rural,22.02%
KARNATAKA,90,Urban,48.69%
KARNATAKA,91,Rural,30.71%
KARNATAKA,91,Urban,63.70%
KARNATAKA,92,Rural,47.84%
KARNATAKA,92,Urban,75.58%
KARNATAKA,93,Rural,54.02%
KARNATAKA,93,Urban,76.94%
KARNATAKA,94,Rural,42.65%
KARNATAKA,94,Urban,68.73%
KARNATAKA,95,Rural,28.00%
KARNATAKA,95,Urban,52.02%
KARNATAKA,96,Rural,40.31%
KARNATAKA,96,Urban,66.61%
KARNATAKA,97,Rural,45.93%
KARNATAKA,97,Urban,74.13%
KARNATAKA,98,Rural,34.90%
KARNATAKA,98,Urban,68.55%
KARNATAKA,99,Rural,22.73%
KARNATAKA,99,Urban,54.11%
KERALA,7,Rural,85.75%
KERALA,7,Urban,87.42%
KERALA,8,Rural,96.68%
KERALA,8,Urban,97.30%
KERALA,9,Rural,98.18%
KERALA,9,Urban,98.39%
KERALA,10,Rural,97.89%
KERALA,10,Urban,98.01%
KERALA,11,Rural,98.76%
KERALA,11,Urban,98.89%
KERALA,12,Rural,99.11%
KERALA,12,Urban,99.26%
KERALA,13,Rural,99.20%
KERALA,13,Urban,99.24%
KERALA,14,Rural,99.14%
KERALA,14,Urban,99.25%
KERALA,15,Rural,99.09%
KERALA,15,Urban,99.19%
KERALA,16,Rural,99.17%
KERALA,16,Urban,99.27%
KERALA,17,Rural,99.22%
KERALA,17,Urban,99.34%
KERALA,18,Rural,99.03%
KERALA,18,Urban,99.22%
KERALA,19,Rural,99.07%
KERALA,19,Urban,99.24%
KERALA,20,Rural,98.74%
KERALA,20,Urban,99.05%
KERALA,21,Rural,98.91%
KERALA,21,Urban,99.17%
KERALA,22,Rural,98.71%
KERALA,22,Urban,99.03%
KERALA,23,Rural,98.73%
KERALA,23,Urban,99.08%
KERALA,24,Rural,98.61%
KERALA,24,Urban,99.00%
KERALA,25,Rural,98.16%
KERALA,25,Urban,98.83%
KERALA,26,Rural,98.35%
KERALA,26,Urban,98.92%
KERALA,27,Rural,98.30%
KERALA,27,Urban,98.91%
KERALA,28,Rural,98.02%
KERALA,28,Urban,98.75%
KERALA,29,Rural,98.24%
KERALA,29,Urban,98.88%
KERALA,30,Rural,97.23%
KERALA,30,Urban,98.37%
KERALA,31,Rural,98.07%
KERALA,31,Urban,98.77%
KERALA,32,Rural,97.70%
KERALA,32,Urban,98.60%
KERALA,33,Rural,97.84%
KERALA,33,Urban,98.71%
KERALA,34,Rural,97.65%
KERALA,34,Urban,98.61%
KERALA,35,Rural,95.88%
KERALA,35,Urban,97.83%
KERALA,36,Rural,96.75%
KERALA,36,Urban,98.20%
KERALA,37,Rural,96.59%
KERALA,37,Urban,98.12%
KERALA,38,Rural,95.74%
KERALA,38,Urban,97.77%
KERALA,39,Rural,95.94%
KERALA,39,Urban,97.87%
KERALA,40,Rural,93.29%
KERALA,40,Urban,96.49%
KERALA,41,Rural,95.61%
KERALA,41,Urban,97.55%
KERALA,42,Rural,94.98%
KERALA,42,Urban,97.16%
KERALA,43,Rural,95.36%
KERALA,43,Urban,97.31%
KERALA,44,Rural,94.81%
KERALA,44,Urban,96.93%
KERALA,45,Rural,90.58%
KERALA,45,Urban,94.91%
KERALA,46,Rural,93.24%
KERALA,46,Urban,96.17%
KERALA,47,Rural,93.01%
KERALA,47,Urban,96.05%
KERALA,48,Rural,91.61%
KERALA,48,Urban,95.11%
KERALA,49,Rural,92.19%
KERALA,49,Urban,95.45%
KERALA,50,Rural,87.52%
KERALA,50,Urban,92.44%
KERALA,51,Rural,92.01%
KERALA,51,Urban,95.06%
KERALA,52,Rural,90.72%
KERALA,52,Urban,94.14%
KERALA,53,Rural,91.80%
KERALA,53,Urban,94.85%
KERALA,54,Rural,91.35%
KERALA,54,Urban,94.41%
KERALA,55,Rural,84.90%
KERALA,55,Urban,89.99%
KERALA,56,Rural,88.19%
KERALA,56,Urban,92.36%
KERALA,57,Rural,88.93%
KERALA,57,Urban,92.93%
KERALA,58,Rural,88.73%
KERALA,58,Urban,92.69%
KERALA,59,Rural,88.04%
KERALA,59,Urban,92.28%
KERALA,60,Rural,78.55%
KERALA,60,Urban,84.72%
KERALA,61,Rural,84.50%
KERALA,61,Urban,89.51%
KERALA,62,Rural,85.52%
KERALA,62,Urban,90.23%
KERALA,63,Rural,86.36%
KERALA,63,Urban,90.76%
KERALA,64,Rural,84.69%
KERALA,64,Urban,89.53%
KERALA,65,Rural,73.27%
KERALA,65,Urban,79.62%
KERALA,66,Rural,78.55%
KERALA,66,Urban,84.45%
KERALA,67,Rural,79.65%
KERALA,67,Urban,85.44%
KERALA,68,Rural,79.00%
KERALA,68,Urban,84.34%
KERALA,69,Rural,79.38%
KERALA,69,Urban,85.14%
KERALA,70,Rural,66.72%
KERALA,70,Urban,73.53%
KERALA,71,Rural,75.19%
KERALA,71,Urban,81.18%
KERALA,72,Rural,79.37%
KERALA,72,Urban,83.51%
KERALA,73,Rural,80.28%
KERALA,73,Urban,84.60%
KERALA,74,Rural,78.79%
KERALA,74,Urban,83.54%
KERALA,75,Rural,65.77%
KERALA,75,Urban,71.62%
KERALA,76,Rural,73.04%
KERALA,76,Urban,77.78%
KERALA,77,Rural,76.92%
KERALA,77,Urban,81.66%
KERALA,78,Rural,75.06%
KERALA,78,Urban,79.82%
KERALA,79,Rural,74.84%
KERALA,79,Urban,79.60%
KERALA,80,Rural,61.95%
KERALA,80,Urban,67.43%
KERALA,81,Rural,70.28%
KERALA,81,Urban,75.19%
KERALA,82,Rural,77.77%
KERALA,82,Urban,80.75%
KERALA,83,Rural,79.54%
KERALA,83,Urban,81.66%
KERALA,84,Rural,75.94%
KERALA,84,Urban,79.08%
KERALA,85,Rural,61.58%
KERALA,85,Urban,65.01%
KERALA,86,Rural,70.07%
KERALA,86,Urban,72.14%
KERALA,87,Rural,73.57%
KERALA,87,Urban,76.41%
KERALA,88,Rural,69.72%
KERALA,88,Urban,73.85%
KERALA,89,Rural,69.22%
KERALA,89,Urban,73.57%
KERALA,90,Rural,54.66%
KERALA,90,Urban,59.02%
KERALA,91,Rural,61.32%
KERALA,91,Urban,65.42%
KERALA,92,Rural,71.84%
KERALA,92,Urban,73.97%
KERALA,93,Rural,72.79%
KERALA,93,Urban,74.14%
KERALA,94,Rural,69.62%
KERALA,94,Urban,71.85%
KERALA,95,Rural,56.79%
KERALA,95,Urban,59.13%
KERALA,96,Rural,65.05%
KERALA,96,Urban,64.73%
KERALA,97,Rural,67.92%
KERALA,97,Urban,71.49%
KERALA,98,Rural,62.45%
KERALA,98,Urban,65.06%
KERALA,99,Rural,58.32%
KERALA,99,Urban,56.36%
LAKSHADWEEP,7,Rural,55.15%
LAKSHADWEEP,7,Urban,74.61%
LAKSHADWEEP,8,Rural,81.86%
LAKSHADWEEP,8,Urban,94.61%
LAKSHADWEEP,9,Rural,90.85%
LAKSHADWEEP,9,Urban,94.51%
LAKSHADWEEP,10,Rural,94.87%
LAKSHADWEEP,10,Urban,94.44%
LAKSHADWEEP,11,Rural,94.98%
LAKSHADWEEP,11,Urban,96.99%
LAKSHADWEEP,12,Rural,98.44%
LAKSHADWEEP,12,Urban,99.01%
LAKSHADWEEP,13,Rural,99.62%
LAKSHADWEEP,13,Urban,99.55%
LAKSHADWEEP,14,Rural,99.17%
LAKSHADWEEP,14,Urban,98.86%
LAKSHADWEEP,15,Rural,99.57%
LAKSHADWEEP,15,Urban,99.24%
LAKSHADWEEP,16,Rural,98.62%
LAKSHADWEEP,16,Urban,99.02%
LAKSHADWEEP,17,Rural,98.70%
LAKSHADWEEP,17,Urban,98.37%
LAKSHADWEEP,18,Rural,98.38%
LAKSHADWEEP,18,Urban,98.32%
LAKSHADWEEP,19,Rural,98.16%
LAKSHADWEEP,19,Urban,97.45%
LAKSHADWEEP,20,Rural,97.39%
LAKSHADWEEP,20,Urban,98.91%
LAKSHADWEEP,21,Rural,97.94%
LAKSHADWEEP,21,Urban,97.37%
LAKSHADWEEP,22,Rural,97.62%
LAKSHADWEEP,22,Urban,98.01%
LAKSHADWEEP,23,Rural,98.06%
LAKSHADWEEP,23,Urban,98.33%
LAKSHADWEEP,24,Rural,97.98%
LAKSHADWEEP,24,Urban,98.03%
LAKSHADWEEP,25,Rural,97.66%
LAKSHADWEEP,25,Urban,98.08%
LAKSHADWEEP,26,Rural,98.94%
LAKSHADWEEP,26,Urban,98.05%
LAKSHADWEEP,27,Rural,98.02%
LAKSHADWEEP,27,Urban,97.45%
LAKSHADWEEP,28,Rural,97.39%
LAKSHADWEEP,28,Urban,98.31%
LAKSHADWEEP,29,Rural,98.37%
LAKSHADWEEP,29,Urban,97.84%
LAKSHADWEEP,30,Rural,98.04%
LAKSHADWEEP,30,Urban,97.12%
LAKSHADWEEP,31,Rural,98.31%
LAKSHADWEEP,31,Urban,97.93%
LAKSHADWEEP,32,Rural,97.44%
LAKSHADWEEP,32,Urban,97.86%
LAKSHADWEEP,33,Rural,96.41%
LAKSHADWEEP,33,Urban,97.26%
LAKSHADWEEP,34,Rural,97.27%
LAKSHADWEEP,34,Urban,97.94%
LAKSHADWEEP,35,Rural,97.45%
LAKSHADWEEP,35,Urban,96.57%
LAKSHADWEEP,36,Rural,97.19%
LAKSHADWEEP,36,Urban,96.97%
LAKSHADWEEP,37,Rural,95.87%
LAKSHADWEEP,37,Urban,96.76%
LAKSHADWEEP,38,Rural,96.76%
LAKSHADWEEP,38,Urban,96.20%
LAKSHADWEEP,39,Rural,98.48%
LAKSHADWEEP,39,Urban,96.97%
LAKSHADWEEP,40,Rural,96.45%
LAKSHADWEEP,40,Urban,93.74%
LAKSHADWEEP,41,Rural,97.84%
LAKSHADWEEP,41,Urban,94.36%
LAKSHADWEEP,42,Rural,97.01%
LAKSHADWEEP,42,Urban,96.02%
LAKSHADWEEP,43,Rural,93.24%
LAKSHADWEEP,43,Urban,94.03%
LAKSHADWEEP,44,Rural,96.71%
LAKSHADWEEP,44,Urban,93.16%
LAKSHADWEEP,45,Rural,95.60%
LAKSHADWEEP,45,Urban,92.57%
LAKSHADWEEP,46,Rural,96.53%
LAKSHADWEEP,46,Urban,92.09%
LAKSHADWEEP,47,Rural,94.85%
LAKSHADWEEP,47,Urban,92.32%
LAKSHADWEEP,48,Rural,95.27%
LAKSHADWEEP,48,Urban,90.48%
LAKSHADWEEP,49,Rural,91.06%
LAKSHADWEEP,49,Urban,92.24%
LAKSHADWEEP,50,Rural,94.07%
LAKSHADWEEP,50,Urban,85.08%
LAKSHADWEEP,51,Rural,93.66%
LAKSHADWEEP,51,Urban,90.63%
LAKSHADWEEP,52,Rural,92.59%
LAKSHADWEEP,52,Urban,84.83%
LAKSHADWEEP,53,Rural,92.59%
LAKSHADWEEP,53,Urban,88.15%
LAKSHADWEEP,54,Rural,88.39%
LAKSHADWEEP,54,Urban,85.86%
LAKSHADWEEP,55,Rural,81.62%
LAKSHADWEEP,55,Urban,81.13%
LAKSHADWEEP,56,Rural,82.54%
LAKSHADWEEP,56,Urban,84.98%
LAKSHADWEEP,57,Rural,90.38%
LAKSHADWEEP,57,Urban,83.95%
LAKSHADWEEP,58,Rural,82.14%
LAKSHADWEEP,58,Urban,82.11%
LAKSHADWEEP,59,Rural,82.83%
LAKSHADWEEP,59,Urban,80.95%
LAKSHADWEEP,60,Rural,75.00%
LAKSHADWEEP,60,Urban,72.45%
LAKSHADWEEP,61,Rural,75.32%
LAKSHADWEEP,61,Urban,72.58%
LAKSHADWEEP,62,Rural,73.40%
LAKSHADWEEP,62,Urban,74.84%
LAKSHADWEEP,63,Rural,69.86%
LAKSHADWEEP,63,Urban,73.47%
LAKSHADWEEP,64,Rural,72.31%
LAKSHADWEEP,64,Urban,71.49%
LAKSHADWEEP,65,Rural,58.70%
LAKSHADWEEP,65,Urban,60.74%
LAKSHADWEEP,66,Rural,55.56%
LAKSHADWEEP,66,Urban,70.37%
LAKSHADWEEP,67,Rural,70.21%
LAKSHADWEEP,67,Urban,62.30%
LAKSHADWEEP,68,Rural,59.65%
LAKSHADWEEP,68,Urban,62.16%
LAKSHADWEEP,69,Rural,45.10%
LAKSHADWEEP,69,Urban,65.67%
LAKSHADWEEP,70,Rural,39.71%
LAKSHADWEEP,70,Urban,49.48%
LAKSHADWEEP,71,Rural,33.33%
LAKSHADWEEP,71,Urban,58.09%
LAKSHADWEEP,72,Rural,41.94%
LAKSHADWEEP,72,Urban,57.26%
LAKSHADWEEP,73,Rural,31.25%
LAKSHADWEEP,73,Urban,59.76%
LAKSHADWEEP,74,Rural,25.00%
LAKSHADWEEP,74,Urban,54.39%
LAKSHADWEEP,75,Rural,35.48%
LAKSHADWEEP,75,Urban,53.41%
LAKSHADWEEP,76,Rural,41.67%
LAKSHADWEEP,76,Urban,46.74%
LAKSHADWEEP,77,Rural,33.33%
LAKSHADWEEP,77,Urban,77.36%
LAKSHADWEEP,78,Rural,58.82%
LAKSHADWEEP,78,Urban,50.00%
LAKSHADWEEP,79,Rural,18.18%
LAKSHADWEEP,79,Urban,43.59%
LAKSHADWEEP,80,Rural,45.45%
LAKSHADWEEP,80,Urban,32.71%
LAKSHADWEEP,81,Rural,25.00%
LAKSHADWEEP,81,Urban,56.52%
LAKSHADWEEP,82,Rural,100.00%
LAKSHADWEEP,82,Urban,72.22%
LAKSHADWEEP,83,Rural,50.00%
LAKSHADWEEP,83,Urban,46.67%
LAKSHADWEEP,84,Rural,50.00%
LAKSHADWEEP,84,Urban,69.23%
LAKSHADWEEP,85,Rural,25.00%
LAKSHADWEEP,85,Urban,43.75%
LAKSHADWEEP,86,Rural,25.00%
LAKSHADWEEP,86,Urban,45.45%
LAKSHADWEEP,87,Rural,66.67%
LAKSHADWEEP,87,Urban,60.00%
LAKSHADWEEP,88,Rural,33.33%
LAKSHADWEEP,88,Urban,50.00%
LAKSHADWEEP,89,Rural,50.00%
LAKSHADWEEP,89,Urban,57.14%
LAKSHADWEEP,90,Rural,42.86%
LAKSHADWEEP,90,Urban,26.32%
LAKSHADWEEP,91,Rural,26.32%
LAKSHADWEEP,91,Urban,33.33%
LAKSHADWEEP,92,Rural,100.00%
LAKSHADWEEP,92,Urban,66.67%
LAKSHADWEEP,93,Rural,66.67%
LAKSHADWEEP,93,Urban,75.00%
LAKSHADWEEP,94,Rural,100.00%
LAKSHADWEEP,94,Urban,83.33%
LAKSHADWEEP,95,Rural,100.00%
LAKSHADWEEP,95,Urban,50.00%
LAKSHADWEEP,96,Rural,50.00%
LAKSHADWEEP,96,Urban,62.50%
LAKSHADWEEP,97,Rural,62.50%
LAKSHADWEEP,97,Urban,100.00%
LAKSHADWEEP,98,Rural,100.00%
LAKSHADWEEP,98,Urban,50.00%
LAKSHADWEEP,99,Rural,100.00%
LAKSHADWEEP,99,Urban,71.43%
MADHYA PRADESH,7,Rural,70.22%
MADHYA PRADESH,7,Urban,77.53%
MADHYA PRADESH,8,Rural,84.72%
MADHYA PRADESH,8,Urban,89.47%
MADHYA PRADESH,9,Rural,89.77%
MADHYA PRADESH,9,Urban,92.53%
MADHYA PRADESH,10,Rural,89.28%
MADHYA PRADESH,10,Urban,92.08%
MADHYA PRADESH,11,Rural,92.57%
MADHYA PRADESH,11,Urban,94.65%
MADHYA PRADESH,12,Rural,91.53%
MADHYA PRADESH,12,Urban,94.64%
MADHYA PRADESH,13,Rural,92.33%
MADHYA PRADESH,13,Urban,95.14%
MADHYA PRADESH,14,Rural,90.92%
MADHYA PRADESH,14,Urban,94.76%
MADHYA PRADESH,15,Rural,88.45%
MADHYA PRADESH,15,Urban,93.59%
MADHYA PRADESH,16,Rural,87.55%
MADHYA PRADESH,16,Urban,93.50%
MADHYA PRADESH,17,Rural,87.51%
MADHYA PRADESH,17,Urban,93.86%
MADHYA PRADESH,18,Rural,82.23%
MADHYA PRADESH,18,Urban,91.75%
MADHYA PRADESH,19,Rural,82.18%
MADHYA PRADESH,19,Urban,92.62%
MADHYA PRADESH,20,Rural,76.45%
MADHYA PRADESH,20,Urban,89.39%
MADHYA PRADESH,21,Rural,78.82%
MADHYA PRADESH,21,Urban,91.83%
MADHYA PRADESH,22,Rural,74.47%
MADHYA PRADESH,22,Urban,89.32%
MADHYA PRADESH,23,Rural,71.66%
MADHYA PRADESH,23,Urban,90.30%
MADHYA PRADESH,24,Rural,70.40%
MADHYA PRADESH,24,Urban,89.58%
MADHYA PRADESH,25,Rural,67.07%
MADHYA PRADESH,25,Urban,84.48%
MADHYA PRADESH,26,Rural,67.29%
MADHYA PRADESH,26,Urban,87.78%
MADHYA PRADESH,27,Rural,67.08%
MADHYA PRADESH,27,Urban,88.86%
MADHYA PRADESH,28,Rural,60.34%
MADHYA PRADESH,28,Urban,85.48%
MADHYA PRADESH,29,Rural,63.58%
MADHYA PRADESH,29,Urban,88.04%
MADHYA PRADESH,30,Rural,58.46%
MADHYA PRADESH,30,Urban,79.68%
MADHYA PRADESH,31,Rural,62.73%
MADHYA PRADESH,31,Urban,86.47%
MADHYA PRADESH,32,Rural,57.41%
MADHYA PRADESH,32,Urban,83.60%
MADHYA PRADESH,33,Rural,54.71%
MADHYA PRADESH,33,Urban,85.04%
MADHYA PRADESH,34,Rural,56.28%
MADHYA PRADESH,34,Urban,85.12%
MADHYA PRADESH,35,Rural,53.86%
MADHYA PRADESH,35,Urban,75.41%
MADHYA PRADESH,36,Rural,54.33%
MADHYA PRADESH,36,Urban,80.76%
MADHYA PRADESH,37,Rural,53.65%
MADHYA PRADESH,37,Urban,84.04%
MADHYA PRADESH,38,Rural,46.32%
MADHYA PRADESH,38,Urban,79.03%
MADHYA PRADESH,39,Rural,50.74%
MADHYA PRADESH,39,Urban,82.53%
MADHYA PRADESH,40,Rural,46.06%
MADHYA PRADESH,40,Urban,70.62%
MADHYA PRADESH,41,Rural,50.43%
MADHYA PRADESH,41,Urban,80.37%
MADHYA PRADESH,42,Rural,46.24%
MADHYA PRADESH,42,Urban,79.63%
MADHYA PRADESH,43,Rural,42.94%
MADHYA PRADESH,43,Urban,81.70%
MADHYA PRADESH,44,Rural,44.82%
MADHYA PRADESH,44,Urban,80.40%
MADHYA PRADESH,45,Rural,42.10%
MADHYA PRADESH,45,Urban,68.60%
MADHYA PRADESH,46,Rural,43.91%
MADHYA PRADESH,46,Urban,77.77%
MADHYA PRADESH,47,Rural,43.23%
MADHYA PRADESH,47,Urban,82.24%
MADHYA PRADESH,48,Rural,37.28%
MADHYA PRADESH,48,Urban,76.95%
MADHYA PRADESH,49,Rural,41.08%
MADHYA PRADESH,49,Urban,79.79%
MADHYA PRADESH,50,Rural,37.32%
MADHYA PRADESH,50,Urban,65.37%
MADHYA PRADESH,51,Rural,42.18%
MADHYA PRADESH,51,Urban,77.01%
MADHYA PRADESH,52,Rural,40.88%
MADHYA PRADESH,52,Urban,79.39%
MADHYA PRADESH,53,Rural,37.64%
MADHYA PRADESH,53,Urban,82.00%
MADHYA PRADESH,54,Rural,40.74%
MADHYA PRADESH,54,Urban,80.98%
MADHYA PRADESH,55,Rural,36.04%
MADHYA PRADESH,55,Urban,64.57%
MADHYA PRADESH,56,Rural,38.90%
MADHYA PRADESH,56,Urban,75.13%
MADHYA PRADESH,57,Rural,37.85%
MADHYA PRADESH,57,Urban,81.00%
MADHYA PRADESH,58,Rural,31.09%
MADHYA PRADESH,58,Urban,75.53%
MADHYA PRADESH,59,Rural,34.35%
MADHYA PRADESH,59,Urban,75.30%
MADHYA PRADESH,60,Rural,28.66%
MADHYA PRADESH,60,Urban,55.37%
MADHYA PRADESH,61,Rural,32.92%
MADHYA PRADESH,61,Urban,68.19%
MADHYA PRADESH,62,Rural,32.13%
MADHYA PRADESH,62,Urban,71.87%
MADHYA PRADESH,63,Rural,32.24%
MADHYA PRADESH,63,Urban,77.86%
MADHYA PRADESH,64,Rural,32.46%
MADHYA PRADESH,64,Urban,73.03%
MADHYA PRADESH,65,Rural,26.15%
MADHYA PRADESH,65,Urban,51.93%
MADHYA PRADESH,66,Rural,29.99%
MADHYA PRADESH,66,Urban,64.45%
MADHYA PRADESH,67,Rural,32.59%
MADHYA PRADESH,67,Urban,76.62%
MADHYA PRADESH,68,Rural,25.17%
MADHYA PRADESH,68,Urban,70.56%
MADHYA PRADESH,69,Rural,26.77%
MADHYA PRADESH,69,Urban,67.68%
MADHYA PRADESH,70,Rural,21.01%
MADHYA PRADESH,70,Urban,44.59%
MADHYA PRADESH,71,Rural,24.07%
MADHYA PRADESH,71,Urban,57.72%
MADHYA PRADESH,72,Rural,27.91%
MADHYA PRADESH,72,Urban,68.39%
MADHYA PRADESH,73,Rural,27.32%
MADHYA PRADESH,73,Urban,73.68%
MADHYA PRADESH,74,Rural,28.02%
MADHYA PRADESH,74,Urban,70.33%
MADHYA PRADESH,75,Rural,20.64%
MADHYA PRADESH,75,Urban,47.93%
MADHYA PRADESH,76,Rural,24.20%
MADHYA PRADESH,76,Urban,59.39%
MADHYA PRADESH,77,Rural,28.63%
MADHYA PRADESH,77,Urban,74.70%
MADHYA PRADESH,78,Rural,23.30%
MADHYA PRADESH,78,Urban,69.15%
MADHYA PRADESH,79,Rural,22.85%
MADHYA PRADESH,79,Urban,62.99%
MADHYA PRADESH,80,Rural,17.10%
MADHYA PRADESH,80,Urban,39.22%
MADHYA PRADESH,81,Rural,20.69%
MADHYA PRADESH,81,Urban,50.54%
MADHYA PRADESH,82,Rural,29.50%
MADHYA PRADESH,82,Urban,65.97%
MADHYA PRADESH,83,Rural,32.94%
MADHYA PRADESH,83,Urban,71.95%
MADHYA PRADESH,84,Rural,32.22%
MADHYA PRADESH,84,Urban,65.90%
MADHYA PRADESH,85,Rural,22.06%
MADHYA PRADESH,85,Urban,45.58%
MADHYA PRADESH,86,Rural,27.44%
MADHYA PRADESH,86,Urban,57.63%
MADHYA PRADESH,87,Rural,36.48%
MADHYA PRADESH,87,Urban,73.03%
MADHYA PRADESH,88,Rural,33.55%
MADHYA PRADESH,88,Urban,69.43%
MADHYA PRADESH,89,Rural,28.31%
MADHYA PRADESH,89,Urban,62.57%
MADHYA PRADESH,90,Rural,17.96%
MADHYA PRADESH,90,Urban,37.71%
MADHYA PRADESH,91,Rural,27.98%
MADHYA PRADESH,91,Urban,50.01%
MADHYA PRADESH,92,Rural,45.38%
MADHYA PRADESH,92,Urban,72.78%
MADHYA PRADESH,93,Rural,50.85%
MADHYA PRADESH,93,Urban,76.93%
MADHYA PRADESH,94,Rural,50.02%
MADHYA PRADESH,94,Urban,74.18%
MADHYA PRADESH,95,Rural,28.51%
MADHYA PRADESH,95,Urban,51.78%
MADHYA PRADESH,96,Rural,41.68%
MADHYA PRADESH,96,Urban,63.46%
MADHYA PRADESH,97,Rural,51.36%
MADHYA PRADESH,97,Urban,76.97%
MADHYA PRADESH,98,Rural,39.41%
MADHYA PRADESH,98,Urban,68.47%
MADHYA PRADESH,99,Rural,23.30%
MADHYA PRADESH,99,Urban,51.61%
MAHARASHTRA,7,Rural,75.74%
MAHARASHTRA,7,Urban,80.22%
MAHARASHTRA,8,Rural,91.07%
MAHARASHTRA,8,Urban,91.99%
MAHARASHTRA,9,Rural,94.35%
MAHARASHTRA,9,Urban,94.45%
MAHARASHTRA,10,Rural,93.67%
MAHARASHTRA,10,Urban,93.95%
MAHARASHTRA,11,Rural,95.74%
MAHARASHTRA,11,Urban,96.02%
MAHARASHTRA,12,Rural,95.55%
MAHARASHTRA,12,Urban,96.35%
MAHARASHTRA,13,Rural,96.08%
MAHARASHTRA,13,Urban,96.77%
MAHARASHTRA,14,Rural,95.68%
MAHARASHTRA,14,Urban,96.60%
MAHARASHTRA,15,Rural,94.62%
MAHARASHTRA,15,Urban,95.94%
MAHARASHTRA,16,Rural,94.87%
MAHARASHTRA,16,Urban,96.06%
